,model_name,learning_rate,batch_size_train,step,train_loss,train_accuracy,f1_score_train,test_loss,test_accuracy,f1_score_test,time
100,roberta-base,5e-05,64,100,0.0145,1.0,1.0,0.052,98.3814,0.944,0:02:10
101,roberta-base,5e-05,64,200,0.0008,1.0,1.0,0.0359,99.3666,0.9774,0:04:16
102,roberta-base,5e-05,64,300,0.001,1.0,1.0,0.0227,99.1555,0.9703,0:06:28
103,roberta-base,5e-05,64,400,0.0019,1.0,1.0,0.0335,99.437,0.9797,0:08:34
104,roberta-base,5e-05,64,500,0.0001,1.0,1.0,0.0256,99.5778,0.9849,0:10:42
105,roberta-base,5e-05,64,600,0.0001,1.0,1.0,0.0272,99.5778,0.9849,0:12:50
106,roberta-base,5e-05,64,700,0.0002,1.0,1.0,0.0237,99.6481,0.9875,0:14:57
107,roberta-base,5e-05,64,800,0.0001,1.0,1.0,0.026,99.6481,0.9875,0:17:05
108,roberta-base,5e-05,64,900,0.0,1.0,1.0,0.0411,99.5074,0.9824,0:19:12
109,roberta-base,5e-05,64,1000,0.0,1.0,1.0,0.0351,99.5778,0.9849,0:21:20
110,roberta-base,5e-05,64,1100,0.0,1.0,1.0,0.0371,99.5074,0.9825,0:23:27
111,roberta-base,5e-05,64,1200,0.0,1.0,1.0,0.0378,99.5074,0.9824,0:25:35
112,roberta-base,5e-05,64,1300,0.0,1.0,1.0,0.0379,99.5074,0.9824,0:27:42
113,roberta-base,5e-05,64,1400,0.0,1.0,1.0,0.0378,99.5074,0.9824,0:29:49
114,roberta-base,5e-05,64,1500,0.0,1.0,1.0,0.0377,99.5074,0.9824,0:31:57
115,roberta-base,5e-05,64,1600,0.0,1.0,1.0,0.0378,99.5074,0.9824,0:34:04
116,roberta-base,5e-05,64,1700,0.0,1.0,1.0,0.0378,99.5074,0.9824,0:36:11
117,roberta-base,5e-05,64,1800,0.0,1.0,1.0,0.0379,99.5074,0.9824,0:38:19
118,roberta-base,5e-05,64,1900,0.0,1.0,1.0,0.0379,99.5074,0.9824,0:40:26
119,roberta-base,5e-05,64,2000,0.0,1.0,1.0,0.0379,99.5074,0.9824,0:42:34
